时间戳,价格(CNY/吨),数据源
2026-07-15 04:50:00,154000.00,TradingEconomics
2026-07-15 05:00:00,154000.00,TradingEconomics
2026-07-15 05:10:01,154000.00,TradingEconomics
2026-07-15 05:20:00,154000.00,TradingEconomics
2026-07-15 05:30:00,154000.00,TradingEconomics
2026-07-15 05:40:00,154000.00,TradingEconomics
2026-07-15 05:50:00,154000.00,TradingEconomics
2026-07-15 06:00:03,154000.00,TradingEconomics
2026-07-15 06:10:02,154000.00,TradingEconomics
2026-07-15 06:20:00,154000.00,TradingEconomics
2026-07-15 06:30:00,154000.00,TradingEconomics
2026-07-15 06:40:02,154000.00,TradingEconomics
2026-07-15 06:50:00,154000.00,TradingEconomics
2026-07-15 07:00:00,154000.00,TradingEconomics
2026-07-15 07:10:00,154000.00,TradingEconomics
2026-07-15 07:20:01,154000.00,TradingEconomics
2026-07-15 07:30:00,154000.00,TradingEconomics
2026-07-15 07:40:01,154000.00,TradingEconomics
2026-07-15 07:50:01,154000.00,TradingEconomics
2026-07-15 08:40:03,154000.00,TradingEconomics
2026-07-15 08:50:01,154000.00,TradingEconomics
2026-07-15 09:00:05,154000.00,TradingEconomics
2026-07-15 09:10:00,154000.00,TradingEconomics
2026-07-15 09:20:00,154000.00,TradingEconomics
2026-07-15 09:30:00,154000.00,TradingEconomics
2026-07-15 09:40:00,154000.00,TradingEconomics
2026-07-15 09:50:00,154000.00,TradingEconomics
2026-07-15 10:00:02,154000.00,TradingEconomics
2026-07-15 10:10:00,154000.00,TradingEconomics
2026-07-15 10:20:00,154000.00,TradingEconomics
2026-07-15 10:30:00,154000.00,TradingEconomics
2026-07-15 10:40:02,154000.00,TradingEconomics
2026-07-15 10:50:01,154000.00,TradingEconomics
2026-07-15 11:00:00,154000.00,TradingEconomics
2026-07-15 11:10:02,154000.00,TradingEconomics
2026-07-15 11:20:03,154000.00,TradingEconomics
2026-07-15 11:30:00,154000.00,TradingEconomics
2026-07-15 11:40:01,154000.00,TradingEconomics
2026-07-15 11:50:01,154000.00,TradingEconomics
2026-07-15 12:00:00,154000.00,TradingEconomics
2026-07-15 12:10:00,154000.00,TradingEconomics
2026-07-15 12:20:00,154000.00,TradingEconomics
2026-07-15 12:30:01,154000.00,TradingEconomics
2026-07-15 12:40:00,154000.00,TradingEconomics
2026-07-15 12:50:03,154000.00,TradingEconomics
2026-07-15 13:00:01,154000.00,TradingEconomics
2026-07-15 13:10:04,154000.00,TradingEconomics
2026-07-15 13:20:00,154000.00,TradingEconomics
2026-07-15 13:30:05,154000.00,TradingEconomics
2026-07-15 13:40:01,154000.00,TradingEconomics
2026-07-15 13:50:01,154000.00,TradingEconomics
2026-07-15 14:00:05,154000.00,TradingEconomics
2026-07-15 14:10:05,154000.00,TradingEconomics
2026-07-15 14:20:04,154000.00,TradingEconomics
2026-07-15 14:30:05,154000.00,TradingEconomics
2026-07-15 14:40:04,154000.00,TradingEconomics
2026-07-15 14:50:05,154000.00,TradingEconomics
2026-07-15 15:00:02,154000.00,TradingEconomics
2026-07-15 15:10:04,154000.00,TradingEconomics
2026-07-15 15:20:04,154000.00,TradingEconomics
2026-07-15 15:30:05,154000.00,TradingEconomics
2026-07-15 15:40:05,154000.00,TradingEconomics
2026-07-15 15:50:05,154000.00,TradingEconomics
2026-07-15 16:00:05,154000.00,TradingEconomics
2026-07-15 16:10:00,154000.00,TradingEconomics
2026-07-15 16:20:03,154000.00,TradingEconomics
2026-07-15 16:30:05,154000.00,TradingEconomics
2026-07-15 16:40:05,154000.00,TradingEconomics
2026-07-15 16:50:05,154000.00,TradingEconomics
2026-07-15 17:00:01,154000.00,TradingEconomics
2026-07-15 17:10:02,154000.00,TradingEconomics
2026-07-15 17:20:01,154000.00,TradingEconomics
2026-07-15 17:30:02,154000.00,TradingEconomics
2026-07-15 18:44:39,154000.00,TradingEconomics
2026-07-15 18:50:05,154000.00,TradingEconomics
2026-07-15 19:00:00,154000.00,TradingEconomics
2026-07-15 19:10:05,154000.00,TradingEconomics
2026-07-15 19:20:05,154000.00,TradingEconomics
2026-07-15 19:30:03,154000.00,TradingEconomics
2026-07-15 19:40:03,154000.00,TradingEconomics
2026-07-15 19:50:02,154000.00,TradingEconomics
2026-07-15 20:00:00,154000.00,TradingEconomics
2026-07-15 20:10:05,154000.00,TradingEconomics
2026-07-15 20:20:01,154000.00,TradingEconomics
2026-07-15 20:30:04,154000.00,TradingEconomics
2026-07-15 20:40:00,154000.00,TradingEconomics
2026-07-15 20:50:05,154000.00,TradingEconomics
2026-07-15 21:00:00,154000.00,TradingEconomics
2026-07-15 21:10:05,154000.00,TradingEconomics
2026-07-15 21:20:00,154000.00,TradingEconomics
2026-07-15 21:30:00,154000.00,TradingEconomics
2026-07-15 21:40:00,154000.00,TradingEconomics
2026-07-15 21:50:05,154000.00,TradingEconomics
2026-07-15 22:00:04,154000.00,TradingEconomics
2026-07-15 22:10:01,154000.00,TradingEconomics
2026-07-15 22:20:00,154000.00,TradingEconomics
2026-07-15 22:30:00,154000.00,TradingEconomics
2026-07-15 22:40:00,154000.00,TradingEconomics
2026-07-15 22:50:03,154000.00,TradingEconomics
2026-07-15 23:00:00,154000.00,TradingEconomics
2026-07-15 23:10:00,154000.00,TradingEconomics
2026-07-15 23:20:00,154000.00,TradingEconomics
2026-07-15 23:30:00,154000.00,TradingEconomics
2026-07-15 23:40:02,154000.00,TradingEconomics
2026-07-15 23:50:04,154000.00,TradingEconomics
2026-07-16 00:00:00,154000.00,TradingEconomics
2026-07-16 00:10:00,154000.00,TradingEconomics
2026-07-16 00:20:04,154000.00,TradingEconomics
2026-07-16 00:30:00,154000.00,TradingEconomics
2026-07-16 00:40:00,154000.00,TradingEconomics
2026-07-16 00:50:00,154000.00,TradingEconomics
2026-07-16 01:00:01,154000.00,TradingEconomics
2026-07-16 01:10:04,154000.00,TradingEconomics
2026-07-16 01:20:00,154000.00,TradingEconomics
2026-07-16 01:30:00,154000.00,TradingEconomics
2026-07-16 01:40:00,154000.00,TradingEconomics
2026-07-16 01:50:02,154000.00,TradingEconomics
2026-07-16 02:00:00,154000.00,TradingEconomics
2026-07-16 02:10:00,154000.00,TradingEconomics
2026-07-16 02:20:01,154000.00,TradingEconomics
2026-07-16 02:30:04,154000.00,TradingEconomics
2026-07-16 02:40:00,154000.00,TradingEconomics
2026-07-16 02:50:05,154000.00,TradingEconomics
2026-07-16 03:00:02,154000.00,TradingEconomics
2026-07-16 03:10:01,154000.00,TradingEconomics
2026-07-16 03:20:01,154000.00,TradingEconomics
2026-07-16 03:30:00,154000.00,TradingEconomics
2026-07-16 03:40:00,154000.00,TradingEconomics
2026-07-16 03:50:04,154000.00,TradingEconomics
2026-07-16 04:00:00,154000.00,TradingEconomics
2026-07-16 04:10:00,154000.00,TradingEconomics
2026-07-16 04:20:00,154000.00,TradingEconomics
2026-07-16 04:30:00,154000.00,TradingEconomics
2026-07-16 04:40:05,154000.00,TradingEconomics
2026-07-16 04:50:01,154000.00,TradingEconomics
2026-07-16 05:00:00,154000.00,TradingEconomics
2026-07-16 05:10:00,154000.00,TradingEconomics
2026-07-16 05:20:00,154000.00,TradingEconomics
2026-07-16 05:30:05,154000.00,TradingEconomics
2026-07-16 05:40:04,154000.00,TradingEconomics
2026-07-16 05:50:02,154000.00,TradingEconomics
2026-07-16 06:00:00,154000.00,TradingEconomics
2026-07-16 06:10:04,154000.00,TradingEconomics
2026-07-16 06:20:02,154000.00,TradingEconomics
2026-07-16 06:30:04,154000.00,TradingEconomics
2026-07-16 06:40:05,154000.00,TradingEconomics
2026-07-16 06:50:01,154000.00,TradingEconomics
2026-07-16 07:00:02,154000.00,TradingEconomics
2026-07-16 07:10:00,154000.00,TradingEconomics
2026-07-16 07:20:00,154000.00,TradingEconomics
2026-07-16 07:30:00,154000.00,TradingEconomics
2026-07-16 08:40:00,154000.00,TradingEconomics
2026-07-16 08:50:00,154000.00,TradingEconomics
2026-07-16 09:00:00,154000.00,TradingEconomics
2026-07-16 09:10:04,154000.00,TradingEconomics
2026-07-16 09:20:00,154000.00,TradingEconomics
2026-07-16 09:30:05,154000.00,TradingEconomics
2026-07-16 09:40:00,154000.00,TradingEconomics
2026-07-16 09:50:00,154000.00,TradingEconomics
2026-07-16 10:00:00,154000.00,TradingEconomics
2026-07-16 10:10:01,154000.00,TradingEconomics
2026-07-16 10:20:00,154000.00,TradingEconomics
2026-07-16 10:30:01,154000.00,TradingEconomics
2026-07-16 10:40:05,154000.00,TradingEconomics
2026-07-16 10:50:03,154000.00,TradingEconomics
2026-07-16 11:00:02,154000.00,TradingEconomics
2026-07-16 11:10:05,154000.00,TradingEconomics
2026-07-16 11:20:00,154000.00,TradingEconomics
2026-07-16 11:30:00,154000.00,TradingEconomics
2026-07-16 11:40:00,154000.00,TradingEconomics
2026-07-16 11:50:03,154000.00,TradingEconomics
2026-07-16 12:00:01,154000.00,TradingEconomics
2026-07-16 12:10:00,151000.00,TradingEconomics
2026-07-16 12:20:00,151000.00,TradingEconomics
2026-07-16 12:30:02,151000.00,TradingEconomics
2026-07-16 12:40:05,151000.00,TradingEconomics
2026-07-16 12:50:00,151000.00,TradingEconomics
2026-07-16 13:00:02,151000.00,TradingEconomics
2026-07-16 13:10:00,151000.00,TradingEconomics
2026-07-16 13:20:03,151000.00,TradingEconomics
2026-07-16 13:30:04,151000.00,TradingEconomics
2026-07-16 13:40:00,151000.00,TradingEconomics
2026-07-16 13:50:01,151000.00,TradingEconomics
2026-07-16 14:00:03,151000.00,TradingEconomics
2026-07-16 14:10:02,151000.00,TradingEconomics
2026-07-16 14:20:01,151000.00,TradingEconomics
2026-07-16 14:30:00,151000.00,TradingEconomics
2026-07-16 14:40:00,151000.00,TradingEconomics
2026-07-16 14:50:03,151000.00,TradingEconomics
2026-07-16 15:00:04,151000.00,TradingEconomics
2026-07-16 15:10:00,151000.00,TradingEconomics
2026-07-16 15:20:00,151000.00,TradingEconomics
2026-07-16 15:30:04,151000.00,TradingEconomics
2026-07-16 15:40:02,151000.00,TradingEconomics
2026-07-16 15:50:02,151000.00,TradingEconomics
2026-07-16 16:00:03,151000.00,TradingEconomics
2026-07-16 16:10:00,151000.00,TradingEconomics
2026-07-16 16:20:00,151000.00,TradingEconomics
2026-07-16 16:30:04,151000.00,TradingEconomics
2026-07-16 16:40:00,151000.00,TradingEconomics
2026-07-16 16:50:00,151000.00,TradingEconomics
2026-07-16 17:00:05,151000.00,TradingEconomics
2026-07-16 17:10:04,151000.00,TradingEconomics
2026-07-16 17:20:03,151000.00,TradingEconomics
2026-07-16 17:30:01,151000.00,TradingEconomics
2026-07-16 18:44:02,151000.00,TradingEconomics
2026-07-16 18:50:03,151000.00,TradingEconomics
2026-07-16 19:00:00,151000.00,TradingEconomics
2026-07-16 19:10:00,151000.00,TradingEconomics
2026-07-16 19:20:04,151000.00,TradingEconomics
2026-07-16 19:30:01,151000.00,TradingEconomics
2026-07-16 19:40:04,151000.00,TradingEconomics
2026-07-16 19:50:00,151000.00,TradingEconomics
2026-07-16 20:00:04,151000.00,TradingEconomics
2026-07-16 20:10:00,151000.00,TradingEconomics
2026-07-16 20:20:04,151000.00,TradingEconomics
2026-07-16 20:30:04,151000.00,TradingEconomics
2026-07-16 20:40:01,151000.00,TradingEconomics
2026-07-16 20:50:00,151000.00,TradingEconomics
2026-07-16 21:00:00,151000.00,TradingEconomics
2026-07-16 21:10:02,151000.00,TradingEconomics
2026-07-16 21:20:01,151000.00,TradingEconomics
2026-07-16 21:30:02,151000.00,TradingEconomics
2026-07-16 21:40:00,151000.00,TradingEconomics
2026-07-16 21:50:00,151000.00,TradingEconomics
2026-07-16 22:00:00,151000.00,TradingEconomics
2026-07-16 22:10:00,151000.00,TradingEconomics
2026-07-16 22:20:04,151000.00,TradingEconomics
2026-07-16 22:30:00,151000.00,TradingEconomics
2026-07-16 22:40:00,151000.00,TradingEconomics
2026-07-16 22:50:02,151000.00,TradingEconomics
2026-07-16 23:00:05,151000.00,TradingEconomics
2026-07-16 23:10:00,151000.00,TradingEconomics
2026-07-16 23:20:00,151000.00,TradingEconomics
2026-07-16 23:30:01,151000.00,TradingEconomics
2026-07-16 23:40:03,151000.00,TradingEconomics
2026-07-16 23:50:02,151000.00,TradingEconomics
2026-07-17 00:10:03,151000.00,TradingEconomics
2026-07-17 00:20:00,151000.00,TradingEconomics
2026-07-17 00:30:00,151000.00,TradingEconomics
2026-07-17 00:40:04,151000.00,TradingEconomics
2026-07-17 00:50:00,151000.00,TradingEconomics
2026-07-17 01:00:02,151000.00,TradingEconomics
2026-07-17 01:10:00,151000.00,TradingEconomics
2026-07-17 01:20:00,151000.00,TradingEconomics
2026-07-17 01:30:00,151000.00,TradingEconomics
2026-07-17 01:40:00,151000.00,TradingEconomics
2026-07-17 01:50:00,151000.00,TradingEconomics
2026-07-17 02:00:02,151000.00,TradingEconomics
2026-07-17 02:10:00,151000.00,TradingEconomics
2026-07-17 02:20:00,151000.00,TradingEconomics
2026-07-17 02:30:00,151000.00,TradingEconomics
2026-07-17 02:40:05,151000.00,TradingEconomics
2026-07-17 02:50:04,151000.00,TradingEconomics
2026-07-17 03:00:00,151000.00,TradingEconomics
2026-07-17 03:10:01,151000.00,TradingEconomics
2026-07-17 03:20:00,151000.00,TradingEconomics
2026-07-17 03:30:00,151000.00,TradingEconomics
2026-07-17 03:40:02,151000.00,TradingEconomics
2026-07-17 03:50:02,151000.00,TradingEconomics
2026-07-17 04:00:00,151000.00,TradingEconomics
2026-07-17 04:10:05,151000.00,TradingEconomics
2026-07-17 04:20:04,151000.00,TradingEconomics
2026-07-17 04:30:00,151000.00,TradingEconomics
2026-07-17 04:40:00,151000.00,TradingEconomics
2026-07-17 04:50:00,151000.00,TradingEconomics
2026-07-17 05:00:03,151000.00,TradingEconomics
2026-07-17 05:10:00,151000.00,TradingEconomics
2026-07-17 05:20:00,151000.00,TradingEconomics
2026-07-17 05:30:05,151000.00,TradingEconomics
2026-07-17 05:40:00,151000.00,TradingEconomics
2026-07-17 05:50:00,151000.00,TradingEconomics
2026-07-17 06:00:05,151000.00,TradingEconomics
2026-07-17 06:10:01,151000.00,TradingEconomics
2026-07-17 06:20:02,151000.00,TradingEconomics
2026-07-17 06:30:00,151000.00,TradingEconomics
2026-07-17 06:40:00,151000.00,TradingEconomics
2026-07-17 06:50:00,151000.00,TradingEconomics
2026-07-17 07:00:00,151000.00,TradingEconomics
2026-07-17 07:10:04,151000.00,TradingEconomics
2026-07-17 07:20:04,151000.00,TradingEconomics
2026-07-17 07:30:00,151000.00,TradingEconomics
2026-07-17 07:40:03,151000.00,TradingEconomics
2026-07-17 07:50:01,151000.00,TradingEconomics
2026-07-17 08:36:38,151000.00,TradingEconomics
2026-07-17 08:40:05,151000.00,TradingEconomics
2026-07-17 08:50:00,151000.00,TradingEconomics
2026-07-17 09:00:05,151000.00,TradingEconomics
2026-07-17 09:10:05,151000.00,TradingEconomics
2026-07-17 09:20:05,151000.00,TradingEconomics
2026-07-17 09:30:03,151000.00,TradingEconomics
2026-07-17 09:40:00,151000.00,TradingEconomics
2026-07-17 09:50:03,151000.00,TradingEconomics
2026-07-17 10:00:01,151000.00,TradingEconomics
2026-07-17 10:10:00,151000.00,TradingEconomics
2026-07-17 10:20:01,151000.00,TradingEconomics
2026-07-17 10:30:03,151000.00,TradingEconomics
2026-07-17 10:40:01,151000.00,TradingEconomics
2026-07-17 10:50:01,151000.00,TradingEconomics
2026-07-17 11:00:00,151000.00,TradingEconomics
2026-07-17 11:10:03,151000.00,TradingEconomics
2026-07-17 11:20:00,151000.00,TradingEconomics
